fid,bid,studyid,animid,startdate,starttype,stopdate,stoptype
43440,34746,4,FLO,1963-05-15,C,1972-08-21,D
43497,34692,4,MB,1963-08-15,C,1975-09-19,D
43473,34820,4,JO,1980-07-23,I,1981-02-11,O
43474,34820,4,JO,1981-11-17,C,1984-03-25,O
43475,34820,4,JO,1985-09-11,C,1985-09-23,P
43438,34748,4,FF,1963-07-02,C,2004-09-01,D
43541,34689,4,SW,1971-09-15,I,2014-12-31,O
42442,33323,2,ALT,1971-08-01,O,1976-05-21,D
15607,12295,3,Rose,1980-01-25,C,1981-04-11,O
43442,34756,4,FM,1968-08-25,B,1969-02-02,D
43423,34722,4,DM,1972-11-15,B,1992-01-31,E
42465,33378,2,DOT,1973-06-21,O,2001-02-25,D
18662,15289,5,MAG,1980-06-30,B,1997-06-17,O
18663,15289,5,MAG,1998-09-29,O,2015-02-20,E
42521,33508,2,PRU,1982-01-31,O,2004-07-03,D
14913,9653,1,BR,1983-06-25,O,1984-07-16,O
14914,9653,1,BR,1986-06-28,C,2014-06-24,P
42535,33540,2,DUD,1983-07-05,O,2005-06-18,D
15062,11691,6,80,1985-07-15,B,2008-09-15,D
15289,13131,7,DARK,1997-01-15,I,1997-08-01,O
15290,13131,7,DARK,1998-01-01,O,1998-05-27,P
15277,13108,7,CARM,1990-03-25,O,1991-07-01,O
15278,13108,7,CARM,1992-02-01,O,1995-10-01,O
15279,13108,7,CARM,1995-12-01,O,1996-07-15,D
15314,13085,7,KATH,1989-07-25,B,1991-07-01,O
15315,13085,7,KATH,1992-02-01,O,1995-10-01,O
15316,13085,7,KATH,1995-12-01,O,1996-08-01,O
15317,13085,7,KATH,1996-12-01,O,1997-08-01,O
15318,13085,7,KATH,1998-01-01,O,1999-10-01,O
15319,13085,7,KATH,2000-01-01,O,2000-08-01,O
15320,13085,7,KATH,2001-01-01,O,2004-09-01,O
15321,13085,7,KATH,2005-01-01,O,2012-06-13,D
14920,9665,1,BRIS,1989-09-20,B,1995-11-13,E
42601,33680,2,DRO,1989-09-13,B,2010-11-30,D
43401,34682,4,AQ,1992-04-21,B,2003-06-25,P
14921,9669,1,BRAH,1993-08-14,B,1999-01-26,E
15625,12382,3,Blaz,1997-06-08,O,2014-09-30,O
42684,33862,2,NUT,1995-08-17,B,2009-09-02,D
15620,12361,3,Diam,1997-06-08,O,2010-06-15,D
14922,9672,1,BRS,1996-07-05,B,1999-02-17,D
15141,11876,6,314,1997-08-01,B,2011-08-15,D
15332,13155,7,MAYO,1998-05-02,B,1999-10-01,O
15333,13155,7,MAYO,2000-01-01,O,2000-08-01,O
15334,13155,7,MAYO,2001-01-01,O,2004-07-15,D
18729,15288,5,TMR,1998-12-01,B,1999-03-18,D
14923,9673,1,BRE,1999-05-29,B,2002-04-10,D
15287,13126,7,CT--,2004-09-02,O,2015-03-31,O
15284,13126,7,CT--,1999-08-02,B,1999-10-01,O
15285,13126,7,CT--,2000-01-01,O,2000-08-01,O
15286,13126,7,CT--,2001-01-01,O,2004-09-01,O
18588,15299,5,AFR,2000-04-20,B,2013-08-10,E
15175,11937,6,403,2000-07-17,B,2013-07-15,O
15198,11992,6,497,2002-07-15,B,2013-07-15,O
14924,9674,1,BRN,2002-07-20,B,2004-04-20,D
32769,15414,5,TBA,2003-09-25,B,2013-08-10,E
15664,12497,3,Ambo,2005-02-08,B,2006-11-28,D
37078,9676,1,BM,2006-04-17,B,2012-02-20,E
29091,16682,1,BER,2008-06-16,B,2014-09-29,O
20324,16642,5,I84,2008-12-09,B,2008-12-24,D
