fid,bid,startdate,starttype,stopdate,stoptype
43440,34746,1963-05-15,C,1972-08-21,D
43497,34692,1963-08-15,C,1975-09-19,D
43473,34820,1980-07-23,I,1981-02-11,O
43474,34820,1981-11-17,C,1984-03-25,O
43475,34820,1985-09-11,C,1985-09-23,P
43438,34748,1963-07-02,C,2004-09-01,D
43541,34689,1971-09-15,I,2014-12-31,O
42442,33323,1971-08-01,O,1976-05-21,D
15607,12295,1980-01-25,C,1981-04-11,O
43442,34756,1968-08-25,B,1969-02-02,D
43423,34722,1972-11-15,B,1992-01-31,E
42465,33378,1973-06-21,O,2001-02-25,D
18662,15289,1980-06-30,B,1997-06-17,O
18663,15289,1998-09-29,O,2015-02-20,E
42521,33508,1982-01-31,O,2004-07-03,D
14913,9653,1983-06-25,O,1984-07-16,O
14914,9653,1986-06-28,C,2014-06-24,P
42535,33540,1983-07-05,O,2005-06-18,D
15062,11691,1985-07-15,B,2008-09-15,D
15289,13131,1997-01-15,I,1997-08-01,O
15290,13131,1998-01-01,O,1998-05-27,P
15277,13108,1990-03-25,O,1991-07-01,O
15278,13108,1992-02-01,O,1995-10-01,O
15279,13108,1995-12-01,O,1996-07-15,D
15314,13085,1989-07-25,B,1991-07-01,O
15315,13085,1992-02-01,O,1995-10-01,O
15316,13085,1995-12-01,O,1996-08-01,O
15317,13085,1996-12-01,O,1997-08-01,O
15318,13085,1998-01-01,O,1999-10-01,O
15319,13085,2000-01-01,O,2000-08-01,O
15320,13085,2001-01-01,O,2004-09-01,O
15321,13085,2005-01-01,O,2012-06-13,D
14920,9665,1989-09-20,B,1995-11-13,E
42601,33680,1989-09-13,B,2010-11-30,D
43401,34682,1992-04-21,B,2003-06-25,P
14921,9669,1993-08-14,B,1999-01-26,E
15625,12382,1997-06-08,O,2014-09-30,O
42684,33862,1995-08-17,B,2009-09-02,D
15620,12361,1997-06-08,O,2010-06-15,D
14922,9672,1996-07-05,B,1999-02-17,D
15141,11876,1997-08-01,B,2011-08-15,D
15332,13155,1998-05-02,B,1999-10-01,O
15333,13155,2000-01-01,O,2000-08-01,O
15334,13155,2001-01-01,O,2004-07-15,D
18729,15288,1998-12-01,B,1999-03-18,D
14923,9673,1999-05-29,B,2002-04-10,D
15287,13126,2004-09-02,O,2015-03-31,O
15284,13126,1999-08-02,B,1999-10-01,O
15285,13126,2000-01-01,O,2000-08-01,O
15286,13126,2001-01-01,O,2004-09-01,O
18588,15299,2000-04-20,B,2013-08-10,E
15175,11937,2000-07-17,B,2013-07-15,O
15198,11992,2002-07-15,B,2013-07-15,O
14924,9674,2002-07-20,B,2004-04-20,D
32769,15414,2003-09-25,B,2013-08-10,E
15664,12497,2005-02-08,B,2006-11-28,D
37078,9676,2006-04-17,B,2012-02-20,E
29091,16682,2008-06-16,B,2014-09-29,O
20324,16642,2008-12-09,B,2008-12-24,D
